artist_name,birth_year,title,artwork_date
Mario Botta,1943,"Gotthard Bank, Lugano, Switzerland, Perspective",1986.0
R. Buckminster Fuller,1895,"Dymaxion Dwelling Machine project, Wichita House (Study for air circulation: floor plan)",1945.0
Alessandro Mendini,1931,Project for a Piece of Furniture,1974.0
Herbert Bayer,1900,"Floor plan for the exhibition ""Bauhaus 1919-1928,"" The Museum of Modern Art, New York, December 7, 1938-January 30, 1939",1938.0
Leon Krier,1946,"White Monuments with Red Flag Curtains, project, Perspective",1974.0
Daniel Libeskind,1946,"Micromegas Project, Time Sections",1979.0
Thom Mayne,1944,"Sixth Street House project, Santa Monica, California, Sixth Street: Figure 2",1987.0
Andrew Zago,1958,"Sixth Street House project, Santa Monica, California, Sixth Street: Figure 2",1987.0
Morphosis,1972,"Sixth Street House project, Santa Monica, CA (Isometrics and plan)",1990.0
Joel Sanders,1956,"Kyle Residence, Houston, Texas, Plan and perspective",1995.0
Massimo Scolari,1943,"American Gas Station Project, Ithaca, New York, Perspective",1975.0
Kenneth Snelson,1927,"Floating Compression Column,",1959.0
Ernesto Bruno La Padula,1902,"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective",1939.0
Giovanni Guerrini,1887,"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective",1939.0
Richard Meier,1934,"The Atheneum, New Harmony, Indiana, Axonometric",1976.0
Rafael Viñoly,1944,"Tokyo International Forum, Tokyo, Japan (Sketch, transverse section)",1991.0
Santiago Calatrava,1951,"Alamillo Bridge and Cartuga Viaduct, Seville, Spain, Elevations",1988.0
Norman Foster,1935,"Hong Kong and Shanghai Bank, Hong Kong, China, Axonometric and elevation",1985.0
Anne Tyng,1920,"City Tower project, Philadelphia, PA (Perspective sketch)",1952.0
Frederick Kiesler,1890,"Endless Theatre Project, Plan",1924.0
Jason Crum,1935,"Project for a Painted Wall, New York City, New York (Perspective)",1969.0
Konrad Wachsmann,1901,Airplane Hangar Project (Roof plan),1963.0
Ricardo Bofill,1939,"Town Plan Project, Kobe, Japan, Site plan",1994.0
Frank O. Gehry,1929,"University of Toledo Center for the Visual Arts, Toledo, Ohio, Exterior perspective",1990.0
Wolf D. Prix,1942,"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective",1993.0
Helmut Swiczinsky,1944,"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective",1993.0
César Pelli,1926,"House for Venice Biennale project, Venice, Italy (Title board: aerial view of model)",1976.0
Chuck Hoberman,1956,"Iris Dome Project, Interior perspective",1994.0
Hans Hollein,1934,"Museum of Vulcanism, Saint-Ours-les-Roches, Auvergne, France, Exterior perspective",1994.0
Scott Marble,1960,"Nara Convention Hall Project, Nara, Japan, Competition drawing: east elevation and cross-sections of large and medium halls",1992.0
Karen Fairbanks,1959,"Nara Convention Hall Project, Nara, Japan, Competition drawing: east elevation and cross-sections of large and medium halls",1992.0
Yoshito Takahashi,1962,"Nara Convention Hall Project, Nara, Japan, Perspective",1992.0
James Stirling,1926,"Staatsgalerie Stuttgart, Stuttgart, Germany, Elevation of gallery entrance",1978.0
Iakov Chernikhov,1889,Arkhitekturnye Fantazii,1933.0
Robert A. M. Stern,1939,"Feature Animation Building, The Walt Disney Company, Burbank, California, South elevation, preliminary study",1992.0
James Wines,1932,"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989.0
Michelle Stone,1944,"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989.0
Emilio Sousa,1944,"Seville World Fair, Oman Pavilion, project, Seville, Spain, Axonometric",1989.0
Harry C. Wolf,1935,"ABN-AMRO Bank Project, Amsterdam, The Netherlands, Elevation of Nederlander Boogie Woogie",1996.0
Mehrdad Yazdani,1959,Untitled,1996.0
Le Corbusier (Charles-Édouard Jeanneret),1887,"Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives",1929.0
Hugo Herdeg,1909,"Maison de la Publicité Project, Paris, France (Exterior perspective)",1936.0
Edward Larrabee Barnes,1915,"Haystack Mountain School of Crafts, Deer Isle, Maine, Oblique elevation",1962.0
Götz Keller,1958,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Willem Jan Neutelings,1959,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Brigitte Kochta,1958,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Marty Kohn,1953,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Luc Reuse,1955,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Ron Steiner,1952,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Jeroen Thomas,1952,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Garciella Torre,1959,"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective",1987.0
Kisho Kurokawa,1934,"Helix City Project, Tokyo, Japan (Plan)",1961.0
Richard Neutra,1892,"Miller House, Norristown, Pennsylvania, Rear patio, exterior perspective",1955.0
Wiel Arets,1955,"Charrette Submission for The Museum of Modern Art Expansion 1997, New York (Manhattan), New York, First Phase",1997.0
Skidmore Owings & Merrill,1936,"National Commercial Bank, Jeddah, Saudi Arabia (Four plans, preliminary study)",1977.0
Gordon Bunshaft,1909,"National Commercial Bank, Jeddah, Saudi Arabia (Four plans, preliminary study)",1977.0
Gaetano Pesce,1939,Sit Down (Perspective),1975.0
Walter Pichler,1936,"Underground Building, project (Isometric)",1963.0
SITE,1970,"Forest Building, Richmond, Virginia (Perspective)",1978.0
John Hejduk,1929,"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut (Isometric projection)",1973.0
Andrea Branzi,1938,"Residential Park, No-Stop City project (Plan)",1969.0
Yona Friedman,1923,"Spatial City, project, Aerial perspective",1958.0
Ron Herron,1930,"Cities: Moving, Master Vehicle-Habitation Project, Aerial Perspective",1964.0
Jorge Silvetti,1942,"Fountain House, project, Section A-A",1975.0
Rodolfo Machado,1942,"Fountain House, project, Section A-A",1975.0
Max Peintner,1937,"Take-Off, project (Perspective)",1974.0
Cedric Price,1934,"Fun Palace for Joan Littlewood Project, Stratford East, London, England (Perspective)",1959.0
Shoji Sadao,1927,"Tetrahedron City Project, Yomiuriland, Japan (Aerial perspective)",1968.0
Friedrich St. Florian,1932,"New York Birdcage-Imaginary Architecture, project, New York City, New York, Perspective from above and plan",1968.0
Superstudio,1966,"Supersurface, The Happy Island, project",1971.0
Gian Piero Frassinelli,1939,"Supersurface, The Happy Island, project",1971.0
Alessandro Magris,1941,"Supersurface, The Happy Island, project",1971.0
Roberto Magris,1935,"Supersurface, The Happy Island, project",1971.0
Adolfo Natalini,1941,"Supersurface, The Happy Island, project",1971.0
Cristiano Toraldo di Francia,1941,"Supersurface, The Happy Island, project",1971.0
Alessandro Poli,1941,"Supersurface, The Happy Island, project",1971.0
Lauretta Vinciarelli,1943,Variations and Interferences of 3 Non-Homogenous Grids in a 32 x 32 cm Square,1973.0
J. da Nobrega,1945,"Housing Project, Setubal, Portugal (Elevation)",1976.0
J. Charters,1945,"Housing Project, Setubal, Portugal (Elevation)",1976.0
Ettore Sottsass,1917,"Study for Fruit Bowl (with Grapes), project (Aerial perspective)",1973.0
Mathias Ungers,1926,"Student Housing Project, Enschede, The Netherlands, Isometric",1964.0
Michael Webb,1937,"Furniture Manufacturers Association Headquarters, project, High Wycombe, England, Elevation",1957.0
Steven Holl Architects,1976,"American Memorial Library, project, Berlin, Germany",1988.0
Stephen Cassell,1963,"American Memorial Library, project, Berlin, Germany",1988.0
Art Zaaijer,1958,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Georges Heinz,1959,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Heike Lohmann,1960,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Alex Wall,1948,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Christophe Cornubert,1963,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Ramon Klein,1957,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Yushi Uehara,1964,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Xaveer de Geijter,1957,"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989.0
Julien Monfort,1968,"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994.0
Yo Yamagata,1962,"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994.0
Jeanne Gang,1964,"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994.0
Chris Dondorp,1970,"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994.0
Gro Bonesmo,1963,"A Dutch House, Holten, The Netherlands",1993.0
Foster Associates,1967,"Offices for Willis Faber & Dumas Ltd., Ipswich, England",1970.0
Pierre Jeanneret,1896,"Governor's Palace (Raj Bhaven) project, Chandigarh, India",1951.0
Charles Eames,1907,"Eames House, Los Angeles, California",1949.0
Ray Eames,1912,"Eames House, Los Angeles, California",1949.0
Simon Ungers,1957,"T-House, Wilton, New York (Scale model)",1988.0
Alvar Aalto,1898,"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955.0
Richard Meier & Associates,1963,"The Atheneum, New Harmony, Indiana",1975.0
Charles Gwathmey,1938,"Gwathmey Residence, Amagansett, New York",1965.0
Frank Stella,1936,"Kunsthalle project, Dresden, Germany",1992.0
Earl Childress,1956,"Kunsthalle project, Dresden, Germany",1992.0
Gerrit Rietveld,1888,"Schröder House, Utrecht, The Netherlands",1924.0
Jacques Herzog,1950,"Signal Box auf dem Wolf, Basel, Switzerland",1988.0
Pierre de Meuron,1950,"Signal Box auf dem Wolf, Basel, Switzerland",1988.0
Herzog & de Meuron,1978,"Signal Box auf dem Wolf, Basel, Switzerland",1988.0
George Howe,1886,"The Museum of Modern Art, New York (Scheme 4, First Variation)",1930.0
William Lescaze,1896,"The Museum of Modern Art, New York (Scheme 4, First Variation)",1930.0
Iñaki Ábalos,1956,"Municipal Gymnasium, Simancas, Spain (Façade study)",1990.0
Juan Herreros,1958,"Municipal Gymnasium, Simancas, Spain (Façade study)",1990.0
Ben van Berkel,1957,"Company Centre Nijkerk Project, Nijkerk, The Netherlands",1992.0
Philip Johnson,1906,"Glass House, New Canaan, Connecticut",1947.0
Eisenman Architects,1988,"Alteka Office Building Project, Tokyo, Japan",1991.0
Richard Rosson,1959,"Alteka Office Building Project, Tokyo, Japan",1991.0
Gwathmey Siegel & Associates Architects,1967,"Addition to the Solomon R. Guggenheim Museum, New York, New York, Scale model 1/16"" = 1',",1984.0
Robert Siegel,1939,"Addition to the Solomon R. Guggenheim Museum, New York, New York, Scale model 1/16"" = 1',",1984.0
Basel,1950,"Facade Panel from the Ricola Europe Factory and Storage Building, Mulhouse-Brunnstatt, France",1992.0
Pierre de Meuron,1865,"Facade Panel from the Ricola Europe Factory and Storage Building, Mulhouse-Brunnstatt, France",1992.0
Toyo Ito & Associates,1971,"Mediatheque, Sendai, Miyagi Prefecture, Japan (Scale model 1:150)",1995.0
Winy Maas,1959,"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990.0
Elizabeth Alford,1967,"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990.0
Xaveer de Geyter,1970,"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990.0
Ray Maggiore,1964,"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990.0
Vince Scirano,1966,"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990.0
Richard Meier & Partners,1963,"Federal Building and United States Courthouse, Islip, New York, Study of entry rotunda",1993.0
Jean Nouvel,1945,"Cartier Foundation for Contemporary Art, Paris, France, Elevation",1992.0
Ortner & Ortner,1987,"Nike Tower, project, Linz, Austria",1991.0
Laurids Ortner,1941,"Nike Tower, project, Linz, Austria",1991.0
Manfred Ortner,1943,"Nike Tower, project, Linz, Austria",1991.0
Marc Tsurumaki,1965,"Sight Specific, project",1994.0
Jonathan Crary,1951,"Sight Specific, project",1994.0
Kazuyo Sejima & Associates,1987,"Villa in the Forest, Chino, Nagano, Japan",1992.0
Nicholas Grimshaw,1939,"Detail of Roof Top for Waterloo International Terminal, London, England",1990.0
Juha Kaakko,1964,"Leisure Studio, Puolarmaari, Espoo, Finland",1990.0
Ilkka Laine,1964,"Leisure Studio, Puolarmaari, Espoo, Finland",1990.0
Kimmo Liimatainen,1965,"Leisure Studio, Puolarmaari, Espoo, Finland",1990.0
Jari Tirkkonen,1965,"Leisure Studio, Puolarmaari, Espoo, Finland",1990.0
Heikkinen Komonen Architects,1974,"Embassy of Finland, Washington D.C.",1990.0
Mikko Heikkinen,1949,"Embassy of Finland, Washington D.C.",1990.0
Markku Komonen,1945,"Embassy of Finland, Washington D.C.",1990.0
Renzo Piano,1937,"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988.0
Renzo Piano Building Workshop,1980,"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988.0
Noriaki Okabe,1931,"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988.0
Architect,1965,"Kyle Residence Project, Houston, Texas",1991.0
Kazuyo Sejima,1956,"Saishunkan Seiyaku Women's Dormitory, Kumamoto City, Japan (Scale model 1:100)",1990.0
Marcel Breuer,1902,"Doldertal Apartments, Zurich, Switzerland",1936.0
Alfred Roth,1930,"Doldertal Apartments, Zurich, Switzerland",1936.0
Emil Roth,1896,"Doldertal Apartments, Zurich, Switzerland",1936.0
Asymptote Architecture,1989,"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994.0
New York,1958,"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994.0
Hani Rashid,1959,"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994.0
Hans Coper,1920,Vase,1960.0
James Prestini,1908,Bowl,1949.0
Kaj Franck,1911,Prisma Tumblers,1967.0
Corning Glass Works,1851,Battery Jar,1920.0
Rodolfo Bonetto,1929,Timer (model 152),1960.0
Robert Oberheim,1938,Nizo S 30 Super-8 Camera,1970.0
Carl Auböck,1900,Nutcracker,1950.0
L.M. Ericsson Telephone Company,1876,Ericofon Telephone,1949.0
Sweden,1897,Ericofon Telephone,1949.0
Hugo Blomberg,1907,Ericofon Telephone,1949.0
Ralph Lysell,1916,Ericofon Telephone,1949.0
Reinhold Weiss,1934,Coiffeur/Set (model HLD 3/31),1972.0
Dieter Rams,1932,Combi Electric Shaver,1957.0
Gerd Alfred Müller,1932,Combi Electric Shaver,1957.0
David Walter Beck,1915,Folding Propeller,1963.0
Massimo Vignelli,1931,Table Lamp,1962.0
Roger Tallon,1929,Parabolic Spotlight with Base (model 33267),1972.0
Claus Bonderup,1943,Table Lamps,1979.0
Torsten Thorup,1944,Table Lamps,1979.0
Bruno Munari,1907,Maldive Tray,1960.0
Gino Colombini,1915,Lemon Squeezer,1958.0
Earl S. Tupper,1907,Tumblers,1954.0
Kenneth Brozen,1927,Serving Bowl,1963.0
Gene Hurwitt,1906,Storage Boxes with Lids,1966.0
Nick Roericht,1932,Stacking Tableware (model TC 100),1959.0
George Ygfors,1926,Spring-Band Pliers,1974.0
Thomas W. Winstead,1918,Cubitainer Recessed Plug and Closure Containers,1955.0
Bertel Gardberg,1916,Tea Strainer,1955.0
Magnus Stephensen,1903,Tanaqvil Flatware,1955.0
Sigurd Persson,1914,Servus Flatware,1953.0
Russel Wright,1904,Highlight Flatware,1951.0
Enzo Mari,1932,Benbecula Paper Knife,1961.0
Jens H. Quistgaard,1919,Fjord Flatware,1953.0
Peter Raacke,1928,mono-Ring Flatware,1966.0
Masayuki Kurokawa,1937,GOM Ashtray,1973.0
Don Wallance,1909,Design 2 Flatware,1956.0
Koen De Winter,1943,Pitcher,1976.0
Michio Arai,1938,Motocross Helmet (model MX-Pro),1985.0
Rosenthal Porzellan A.G.,1879,Bowls,
Henning Andreasen,1923,Sound-Level Indicator (model SL-120),1978.0
Achille Castiglioni,1918,Spalter Electric Vacuum Cleaner,1956.0
Pier Giacomo Castiglioni,1913,Spalter Electric Vacuum Cleaner,1956.0
Peter Hamburger,1941,Desk Lamp,1972.0
Moik Schiele,1938,Weaving,1977.0
Josef Hoffmann,1870,Goblets,1915.0
Emily Belding,1904,Cadence,1955.0
Alexander Girard,1907,Rain Drapery Fabric,1953.0
Jacob Jensen,1926,Beocenter 7000 Radio-Turntable-Cassette Combination,1979.0
Joe Colombo,1930,Poker Table,1968.0
Nikon (Nippon Kogaku K.K.),1917,Roof Prism Binoculars,1977.0
Giorgio Berretti,1941,Disposable Foldable Razor,1975.0
Isamu Noguchi,1904,Table (IN-50),1944.0
Marco Ferreri,1958,Is Stool,1993.0
Paul Rand,1914,Abacus (Furnishing fabric),1946.0
Peter Behrens,1868,Teapot,1901.0
Carl Walters,1883,Plate,1937.0
Kazuo Kawasaki,1949,Carna Folding Wheelchair,1989.0
Marianne Brandt,1893,Table Clock,1932.0
Leopoldo Tartarini,1932,Pack 2 Moped,1979.0
Makoto Komatsu,1943,Sake Pitcher and Cups,1992.0
Ugo La Pietra,1938,Uno sull'altro Stacking Shelves,1970.0
Ross Littell,1924,Border Riff #3 Sheer Fabric,1948.0
Ross Lovegrove,1958,Figure of Eight Chair,1993.0
Synthetic Industries,1969,Pyramat Erosion Mat,1992.0
Christian Dell,1893,Tea Infuser,1924.0
Maurizio Ficcadenti,1970,Infradito Nail Varnish Container,1994.0
Kristian Vedel,1923,Child's chair,1957.0
Sven Markelius,1889,Pythagoras Drapery Fabric,1952.0
Lella Vignelli,1934,Handkerchief Chair,1985.0
David Law,1937,Handkerchief Chair,1985.0
Hoechst Trevira GmbH,1946,Spacenet E12 and E28,1993.0
Joel Robinson,1915,Ovals #2 textile (Drapery fabric),1954.0
Toots Zynsky,1951,Waterspout 4 Vase,1994.0
Arne Jacobsen,1902,Chair Series 7 (3107),1952.0
Kevin Dwyer,1952,Paper Vase,1989.0
Eszter Haraszty,1920,Triad,1951.0
Haus-Rucker-Co,1967,Mind Expander / Flyhead Helmet,1968.0
Günter Zamp Kelp,1941,Mind Expander / Flyhead Helmet,1968.0
Klaus Pinter,1940,Mind Expander / Flyhead Helmet,1968.0
Hugo Leven,1874,Biscuit Jar No.4505,1902.0
Poul Henningsen,1894,PH Table Lamp,1926.0
Vera (Vera Neumann),1909,Stone on Stone,1950.0
Vico Magistretti,1920,Eclisse Table Lamp,1966.0
René Herbst,1891,Sandows Chair,1928.0
Gebrüder Thonet,1853,Armchair (model 9),1904.0
Gretl Wollner,1920,Trapeze,1955.0
Leo Wollner,1925,Trapeze,1955.0
Bent Hedegaard Nobert,1959,Springforce Hook,1994.0
Carl Jacobs,1925,Jason Chair,1950.0
Josef Frank,1885,Nesting Tables,1933.0
Angelo Testa,1921,Banda,1949.0
Montse Padrós i Marqués,1952,Ona Coatrack,1992.0
Carlos Riart,1944,Ona Coatrack,1992.0
Harri Koskinen,1970,Block Lamp,1996.0
Paolo Rizzatto,1941,Constanzina Table Lamp (D13pi),1992.0
Tobia Scarpa,1935,Plates,1991.0
Afra Scarpa,1937,Plates,1991.0
Lynn Alexander,1920,Decorated Panel,1954.0
Studio Tetrarc,1969,Tovaglia Coffee Table,1969.0
Philippe Starck,1949,Vicieuse Coffee Table,1992.0
Bruno Mathsson,1907,Pernilla 1 Easy Chair (T105),1944.0
Oskar Strnad,1879,Cigarette Box,1916.0
Marli Ehrman,1904,Upholstery Fabric Sample,1975.0
Helena Hernmarck,1941,Yin-Yang/Mao Tapestry,1971.0
Richard W. Landis,1931,Shaded Stripes Wall Hanging,1968.0
Marianne Strengell,1909,Casement cloth,1940.0
Dorothy Liebes,1899,Sample Blanket Showing Three Weaves,1946.0
Gianfranco Frattini,1926,Boalum Light,1969.0
Livio Castiglioni,1911,Boalum Light,1969.0
Fausto Melotti,1901,Cup and Saucer,1947.0
Benjamin Baldwin,1913,Primitive Forms,1950.0
The Aluminum Cooking Utensil Co.,1901,Wear-Ever Mixing Bowl,
Carl Anderson,1903,Sectional Chair,1940.0
Ross Bellah,1907,Sectional Chair,1940.0
Peter Schlumbohm,1896,Chemex Coffee Maker,1941.0
Hagbard Elis Bergh,1881,Charm Tumblers,1939.0
Man Ray (Emmanuel Radnitzky),1890,Gioco di Scacchi Chess Set,1971.0
Aino Aalto,1894,Child's Chair (model 103),1929.0
Alberto Salvati,1935,Diletto Sofa Bed,1971.0
Jack Lenor Larsen,1927,Casement Fabric,1949.0
Blenko Glass Co.,1893,Ashtray,1946.0
Gustav A. Brown,1908,Automatic Coin Sorting Bank,1965.0
Theodore Waddell,1928,Light Sticks Lamp (B 7 bowl model),1970.0
Dante Bandini,1940,Light Sticks Lamp (B 7 bowl model),1970.0
Marco Zanuso,1916,Hastil Fountain Pen,1969.0
Anni Albers,1899,Drapery Material Sample,1945.0
Greta Von Nessen,1898,Anywhere Lamp,1951.0
Shuichi Obata,1932,Speaker (model SST-1),1988.0
Edward Condak,1900,Marco 8-cup Coffee Percolator,1946.0
Asao Sakamoto,1950,Platter,1989.0
Timo Sarpaneva,1926,Casserole,1959.0
Wilhelm Wagenfeld,1900,Kubus Stacking Storage Containers,1938.0
Hans Wegner,1914,Cowhorn Chair (model PP 505),1952.0
Lurelle Guild,1898,Ashtrays and Matchbox Covers,1934.0
Akihiro Kaneko,1961,#2765 Yuragi (Fluctuation),1997.0
Yoshihiro Kimura,1947,Pedocal,1996.0
Gunta Stölzl,1897,Wall Hanging,1924.0
Keiji Otani,1967,Brickyard,1997.0
Frank Graham Holmes,1878,Vases,1908.0
Reiko Sudo,1953,Moss Temple,1997.0
W. Archibald Welden,1900,Cocktail Shaker,1938.0
Dora Jung,1906,Fish,1969.0
Koichi Yoshimura,1940,Iridescent Satin,1994.0
Sheila Hicks,1934,Multi-Colored Minime,1962.0
Lenore Tawney,1907,Little River,1968.0
Johann Loetz,1848,Bud Vase,1900.0
John R. Carroll,1892,Presto Cheese Slicer,1944.0
Egmont Arens,1888,Streamliner Meat Slicer (model 410),1940.0
Theodore C. Brookhart,1898,Streamliner Meat Slicer (model 410),1940.0
Jon Hedu,1914,Lifetime Ware,1940.0
Hedda Beese,1944,Portable Solar Lantern (model SL 48),1985.0
Albin J. Herek,1912,Stag Hunting Bow,1946.0
Philip V. Leivo,1914,Stag Hunting Bow,1946.0
Luigi Colani,1928,Folding Headphones,1986.0
Gregory Ain,1908,Study for a Glider Nose,1943.0
